species_id,Country,SiteName,Lat,Long,Years,Habitat,EnglishName,LatinName,JetzLatinName,JetzTipLabel,JetzFamily,JetzOrder,NestShape,SampleSize,SuccessfulNests,PercentageSuccessfulNests,DSR,FailedNests,DepredatedNests,PercentageDepredated,NestSuccessNotes,IncubationPeriod.days.,NestlingPeriod.days.,ClutchSize,ReferenceForClutchSize,ReferenceForIncubationPeriod,ReferenceForNestlingPeriod,GeneralNotes,Citation,demelevation,Hemisphere,temptrop2,temptrop
11,Ecuador,Yanayacu Biological Station,-0.583333,-77.88333,2001-2002,closed,Green-fronted Lancebill,Doryfera ludovicae,Doryfera ludovicae,Doryfera_ludovicae,Trochilidae,2499,open,18,8,0.4444,NA,10,8,0.8,"One nest fell down before it was completed and I did not include it in the sample size. Of the remaining 10 that failed, 2 were because of weather and the remaining 8 were presumed to be the work of predators.",20.5,29,1.9,Paper,Paper,Paper,NA,"Greeney HF, RC Dobbs,GIC Diaz, S Kerr & JG Hayhurst. 2006. Breeding biology of the Green-fronted Lancebill (Doryfera ludovicae) in eastern Ecuador. Ornitologia Neotropical 17: 321-331.",2203.775146,S,trop,tropical
12,Costa Rica,Los Cusingos,9.333448,-83.627878,1942-1982,semi-open,Scaly-breasted Hummingbird,Phaeochroa cuvierii,Phaeochroa cuvierii,Phaeochroa_cuvierii,Trochilidae,2500,open,20,10,0.5,NA,NA,NA,NA,NA,18,24,2,HBW Alive,HBW Alive,HBW Alive,NA,"Skutch AF. 1985. Clutch size, nesting success and predation on nests of Neotropical birds, reviewed. Ornithological Monographs 36: 575-594.",818.7720947,N,trop,tropical
13,United States,"Cochise County, Arizona",31.38286,-109.06935,1976-1980,closed,Broad-billed Hummingbird,Cynanthus latirostris,Cynanthus latirostris,Cynanthus_latirostris,Trochilidae,2573,open,20,12,0.6,NA,NA,NA,NA,"Author suggests high nest success because this species placed its nest in ""rock outcrops or in extremely dense thickets, which provided a great deal of protection and seclusion"".",NA,NA,2,Paper,NA (paper gives total nest period (42 days) but does not split this into incubation and nestling periods),NA (paper gives total nest period (42 days) but does not split this into incubation and nestling periods),NA,Baltosser WH. 1986. Nesting Success and Productivity of Hummingbirds in Southwestern New Mexico and Southeastern Arizona. Wilson Journal of Ornithology 98: 353-367.,1463.969482,N,ntemp,temperate
14,Panama,Barro Colorado Island,9.157423,-79.848287,1935,semi-open,Rufous-tailed Hummingbird,Amazilia tzacatl,Amazilia tzacatl,Amazilia_tzacatl,Trochilidae,2639,open,13,3,0.230769231,NA,NA,NA,NA,NA,15.5,20,2,HBW Alive,HBW Alive,HBW Alive,NA,"Skutch AF. 1985. Clutch size, nesting success and predation on nests of Neotropical birds, reviewed. Ornithological Monographs 36: 575-594.",46.05140305,N,trop,tropical
14,Costa Rica,Los Cusingos,9.333448,-83.627878,1942-1982,semi-open,Rufous-tailed Hummingbird,Amazilia tzacatl,Amazilia tzacatl,Amazilia_tzacatl,Trochilidae,2639,open,19,6,0.315789474,NA,NA,NA,NA,NA,15.5,20,2,HBW Alive,HBW Alive,HBW Alive,NA,"Skutch AF. 1985. Clutch size, nesting success and predation on nests of Neotropical birds, reviewed. Ornithological Monographs 36: 575-594.",818.7720947,N,trop,tropical
15,United States,"Cochise County, Arizona",31.38286,-109.06935,1976-1980,semi-open,Violet-crowned Hummingbird,Amazilia violiceps,Amazilia violiceps,Amazilia_violiceps,Trochilidae,2644,open,16,9,0.5625,NA,NA,NA,NA,NA,15.5,20,2,Paper,HBW Alive (A. tzacatl),HBW Alive (A. tzacatl),NA,Baltosser WH. 1986. Nesting Success and Productivity of Hummingbirds in Southwestern New Mexico and Southeastern Arizona. Wilson Journal of Ornithology 98: 353-367.,1463.969482,N,ntemp,temperate
16,Venezuela,Yacambu National Park,9.692964,-69.592088,2002-2006,closed,Violet-chested Hummingbird,Sternoclyta cyanopectus,Sternoclyta cyanopectus,Sternoclyta_cyanopectus,Trochilidae,2681,open,67,29,0.4328,0.943,38,27,0.710526316,"27 nests lost to predation, 11 to abandonment or unknown causes. DSR increased throughout the nesting period. Daily survival rates were 0.903 + 0.053, 0.958 + 0.009, and 0.968 for laying, incubation, nestling.",20.4,26,2,Paper,Paper,Paper,NA,Fierro-Calderon K & TE Martin. 2007. Reproductive biology of the Violet-Chested Hummingbird in Venezuela and comparisons with other tropical and temperate hummingbirds. The Condor 109: 680-685.,1659.92395,N,trop,tropical
17,Mexico,Central Veracruz,19.333333,-96.66667,2003,semi-open,Mexican Sheartail,Doricha eliza,Doricha eliza,Doricha_eliza,Trochilidae,2786,open,11,4,0.3636,NA,NA,NA,NA,NA,15,23,2,Paper,Paper,Paper,NA,"Diaz-Valenzuela R, NZ Lara-Rodriguez, R Ortiz-Pulido, F Gonzalez-Garcia & AR Bautista. 2011. Some aspects of the Reproductive biology of the Mexican Sheartail (Doricha eliza) in central Veracruz. The Condor 113: 177-182.",447.9772339,N,trop,tropical
18,United States,"Grant County, Arizona",32.43205,-109.05287,1976-1980,semi-open,Black-chinned Hummingbird,Archilochus alexandri,Archilochus alexandri,Archilochus_alexandri,Trochilidae,2792,open,157,54,0.3439,NA,NA,NA,NA,I averaged nest success over three sites for this species.,15,18.5,2,Paper,HBW Alive,HBW Alive,NA,Baltosser WH. 1986. Nesting Success and Productivity of Hummingbirds in Southwestern New Mexico and Southeastern Arizona. Wilson Journal of Ornithology 98: 353-367.,1367.50354,N,ntemp,temperate
18,United States,Bosque del Apache National wildlife Refuge,33.815955,-106.864106,2000-2007,semi-open,Black-chinned Hummingbird,Archilochus alexandri,Archilochus alexandri,Archilochus_alexandri,Trochilidae,2792,open,635,398,0.61,NA,NA,NA,NA,"only 8% actually depredated, 23% undetermined",15,18.5,2,HBW Alive,HBW Alive,HBW Alive,NA,"Smith DM, DM Finch & DL Hawksworth. 2009. Black-chinned hummingbird nest-site selection and nest survival in response to fuel reduction in a southwestern riparian forest. The Condor 111: 641-652.",1383.707397,N,ntemp,temperate
18,United States,Gila National Forest,33.7128519,-108.3067514,"1997-2004, 2000-2008",semi-open,Black-chinned Hummingbird,Archilochus alexandri,Archilochus alexandri,Archilochus_alexandri,Trochilidae,2792,open,654,331,0.506,NA,NA,NA,NA,%SuccNests is a mean over two sites,15,18.5,2,HBW Alive,HBW Alive,HBW Alive,NA,"Smith DM, Finch D & Stoleson SH. 2014. Nest-location and nest-survival of Black-chinned hummingbirds in New Mexico: a comparison between rivers with differing levels of regulation and invasion of nonnative plants. The Southwestern Naturalist 59: 193-198. ",2144.86499,N,ntemp,temperate
19,United States,"Cochise County, Arizona",31.38286,-109.06935,1976-1980,open,Costa's Hummingbird,Calypte costae,Calypte costae,Calypte_costae,Trochilidae,2794,open,11,1,0.0909,NA,NA,NA,NA,NA,15.5,20,2,Paper,HBW Alive,HBW Alive,NA,Baltosser WH. 1986. Nesting Success and Productivity of Hummingbirds in Southwestern New Mexico and Southeastern Arizona. Wilson Journal of Ornithology 98: 353-367.,1463.969482,N,ntemp,temperate
20,Ecuador,Ancon (Guayas Province),-2.310831,-80.838557,1955-1958,open,Short-tailed Woodstar,Myrmia micrura,Myrmia micrura,Myrmia_micrura,Trochilidae,2804,open,41,17,0.414634146,NA,NA,NA,NA,"Marchant writes that of 74 eggs, 23 nestlings fledged (vs. 17 successful nests out of 41). 22 of failed nests thought to be due to predation? (2 were deserted)",16,24,2,Paper,Paper,Paper,NA,Marchant S. 1960. The breeding of some SW Ecuadorian birds. Ibis 102: 349-382,38.60537338,S,trop,tropical
21,Brazil,Belem,-1.21324,-48.234302,1972-1973,semi-open,Common Pauraque,Nyctidromus albicollis,Nyctidromus albicollis,Nyctidromus_albicollis,Caprimulgidae,3220,open,22,10,0.454545455,0.933701657,12,7,0.583333333,Study provides raw data that can be used both to calculate percentage of successful  nests (nearly all unsuccessful nests = depredated) and also to calculate daily survival probability. 7 of failed nests thought to be due to predation.,19.5,1,1.5,HBW Alive (median),HBW Alive,Altricial nestlings: I put 1 day for nestling period,NA,Oniki Y. 1979. Is nesting success of birds low in the tropics? Biotropica 11: 60-69,23.54823303,S,trop,tropical
22,Brazil,Belem,-1.21324,-48.234302,1972-1973,semi-open,Blackish Nightjar,Caprimulgus nigrescens,Caprimulgus nigrescens,Caprimulgus_nigrescens,Caprimulgidae,3248,open,11,6,0.545454545,0.954545455,5,3,0.6,Study provides raw data that can be used both to calculate percentage of successful  nests (nearly all unsuccessful nests = depredated) and also to calculate daily survival probability. 3 of failed nests thought to be due to predation.,17,1,1,HBW Alive,HBW Alive,Altricial nestlings: I put 1 day for nestling period,NA,Oniki Y. 1979. Is nesting success of birds low in the tropics? Biotropica 11: 60-69,23.54823303,S,trop,tropical
23,Brazil,Pirizal,-16.253333,-56.37,2001-2002,semi-open,Pale-vented Pigeon,Patagioenas cayennensis,Patagioenas cayennensis,Patagioenas_cayennensis,Columbidae,3360,open,14,3,0.21,NA,11,7,0.636363636,"7 predated, 4 abandoned",NA,NA,1,HBW Alive,NA,NA,NA,Pinho JB & MC Marini. 2014. Birds' nesting parameters in four forest types in the Pantanal wetland. Brazilian Journal of Biology 74: 890-898.,129.5869751,S,trop,tropical
24,United States,"Roosevelt County, NM",34.033063,-103.862401,2004-2005,semi-open,Mourning Dove,Zenaida macroura,Zenaida macroura,Zenaida_macroura,Columbidae,3439,open,16,NA,NA,0.794,NA,NA,NA,NA,14.5,13,2,HBW Alive (median),HBW Alive,HBW Alive,NA,Smythe LA & DA Haukos. 2009. Nesting success of grassland birds in shinnery oak communities treated with tebuthiuron and grazing in eastern New Mexico. The Southwestern Naturalist 54: 136-145.,1341.234741,N,ntemp,temperate
24,United States,"Madelia, MN",44.0499171,-94.432262,"1957, 1958",semi-open,Mourning Dove,Zenaida macroura,Zenaida macroura,Zenaida_macroura,Columbidae,3439,open,775,502.2,0.648,NA,NA,NA,NA,%SuccNests is mean of 61.8 and 67.8,14.5,13,2,HBW Alive (median),HBW Alive,HBW Alive,Only Madelia site results used,"Harris SW, Morse MA & Longley WH. 1963. Nesting and production of the Mourning Dove in Minnesota. The American Midland Naturalist 69: 150-172. ",307.0340576,N,ntemp,temperate
24,United States," Baldwin Bird Research Laboratory, Chagrin Valley",41.0818388,-83.6806665,1921-1939 (inclusive),semi-open,Mourning Dove,Zenaida macroura,Zenaida macroura,Zenaida_macroura,Columbidae,3439,open,62,31,0.5,NA,NA,NA,NA,SuccNests calculated by %SuccNests x sample size,14.5,13,2,HBW Alive (median),HBW Alive,HBW Alive,NA,Kendeigh CS. 1942. Analysis in losses in the nesting of birds. Journal of Wildlife Management 6: 19-26.,234.1185455,N,ntemp,temperate
24,United States,"Cold Spring Park, Lewis",41.2910107,-95.1542517,"1938, 1939",semi-open,Mourning Dove,Zenaida macroura,Zenaida macroura,Zenaida_macroura,Columbidae,3439,open,2551,1167,0.4575,NA,NA,NA,NA,"%SuccNests is a mean of %SuccNests over two years and 4 ""treatments"" (# of succ nestlings per nest)",14.5,13,2,HBW Alive (median),HBW Alive,HBW Alive,NA,McClure HE. 1942. Mourning dove production in southwestern Iowa.The Auk 59: 64-75.,357.9367065,N,ntemp,temperate
24,United States,San Diego,32.872696,-117.077437,1944,semi-open,Mourning Dove,Zenaida macroura,Zenaida macroura,Zenaida_macroura,Columbidae,3439,open,10,7,0.7,NA,NA,NA,NA,NA,14.5,13,2,HBW Alive (median),HBW Alive,HBW Alive,NA,McClure HE. 1946. Mourning doves in Nebraska and the West. The Auk 63: 24-42.,201.6693573,N,ntemp,temperate
24,United States,"Ord, Nebraska",41.6062377,-98.9444066,"1941, 1942, 1943",semi-open,Mourning Dove,Zenaida macroura,Zenaida macroura,Zenaida_macroura,Columbidae,3439,open,325,181,0.557,NA,NA,NA,NA,NA,14.5,13,2,HBW Alive (median),HBW Alive,HBW Alive,NA,McClure HE. 1946. Mourning doves in Nebraska and the West. The Auk 63: 24-42.,640.5463257,N,ntemp,temperate
25,Ecuador,Ancon (Guayas Province),-2.310831,-80.838557,1955-1958,semi-open,Eared Dove,Zenaida auriculata,Zenaida auriculata,Zenaida_auriculata,Columbidae,3441,open,10,3,0.3,NA,7,5,0.714285714,nestling period not given. 5 of failed nests thought to be due to predation.,14,10,2,Paper,HBW Alive,Other papers in dataset on same species,NA,Marchant S. 1960. The breeding of some SW Ecuadorian birds. Ibis 102: 349-382,36.67686844,S,trop,tropical
26,Brazil,Belem,-1.21324,-48.234302,1972-1973,semi-open,Common Ground-Dove,Columbina passerina,Columbina passerina,Columbina_passerina,Columbidae,3449,open,98,29,0.295918367,0.924008811,69,46,0.666666667,Study provides raw data that can be used both to calculate percentage of successful  nests (nearly all unsuccessful nests = depredated) and also to calculate daily survival probability. 46 of failed nests thought to be due to predation.,13.5,11,2,HBW Alive,HBW Alive,HBW Alive,NA,Oniki Y. 1979. Is nesting success of birds low in the tropics? Biotropica 11: 60-69,23.54823303,S,trop,tropical
26,United States,Merritt Island,28.2713501,-80.8087126,1989,semi-open,Common Ground-Dove,Columbina passerina,Columbina passerina,Columbina_passerina,Columbidae,3449,open,17,NA,NA,0.979,NA,NA,NA,DSR is mean of NestlingDSR over two citrus groves,13.5,11,2,HBW Alive,HBW Alive,HBW Alive,in a citrus grove sprayed w pesticides,"Mitchell MC, Best LB & Gionfriddo JP. 1996. Avian nest-site selection and nesting success in two Florida citrus groves. The Wilson Bulletin 108: 573-583.",4.183245659,N,ntemp,temperate
27,Brazil,Belem,-1.21324,-48.234302,1972-1973,semi-open,Ruddy Ground-Dove,Columbina talpacoti,Columbina talpacoti,Columbina_talpacoti,Columbidae,3451,open,32,13,0.40625,0.937704918,19,12,0.631578947,Study provides raw data that can be used both to calculate percentage of successful  nests (nearly all unsuccessful nests = depredated) and also to calculate daily survival probability. 12 of failed nests thought to be due to predation.,12,12,2,HBW Alive,HBW Alive,HBW Alive,NA,Oniki Y. 1979. Is nesting success of birds low in the tropics? Biotropica 11: 60-69,23.54823303,S,trop,tropical
27,Costa Rica,Los Cusingos,9.333448,-83.627878,1942-1982,semi-open,Ruddy Ground-Dove,Columbina talpacoti,Columbina talpacoti,Columbina_talpacoti,Columbidae,3451,open,22,5,0.227272727,NA,NA,NA,NA,NA,12,12,2,HBW Alive,HBW Alive,HBW Alive,NA,"Skutch AF. 1985. Clutch size, nesting success and predation on nests of Neotropical birds, reviewed. Ornithological Monographs 36: 575-594.",818.7720947,N,trop,tropical
28,Ecuador,Ancon (Guayas Province),-2.310831,-80.838557,1955-1958,open,Croaking Ground-Dove,Columbina cruziana,Columbina cruziana,Columbina_cruziana,Columbidae,3454,open,283,160,0.565371025,NA,NA,NA,NA,Marchant provides additional data of success per egg and per nestling (which provide nearly identical success percentage). 110 of failed nests thought to be due to predation.,14,10,2,Paper,Paper,Paper,NA,Marchant S. 1960. The breeding of some SW Ecuadorian birds. Ibis 102: 349-382,36.67686844,S,trop,tropical
29,Costa Rica,Los Cusingos,9.333448,-83.627878,1942-1982,closed,Blue Ground-Dove,Claravis pretiosa,Claravis pretiosa,Claravis_pretiosa,Columbidae,3456,open,15,5,0.333333333,NA,NA,NA,NA,NA,14.5,13.5,2,HBW Alive,HBW Alive,HBW Alive,NA,"Skutch AF. 1985. Clutch size, nesting success and predation on nests of Neotropical birds, reviewed. Ornithological Monographs 36: 575-594.",706.5334473,N,trop,tropical
30,Costa Rica,Los Cusingos,9.333448,-83.627878,1942-1982,semi-open,White-tipped Dove,Leptotila verreauxi,Leptotila verreauxi,Leptotila_verreauxi,Columbidae,3464,open,18,5,0.277777778,NA,NA,NA,NA,NA,14,13.5,2,HBW Alive,HBW Alive,HBW Alive,NA,"Skutch AF. 1985. Clutch size, nesting success and predation on nests of Neotropical birds, reviewed. Ornithological Monographs 36: 575-594.",818.7720947,N,trop,tropical
30,Brazil,Pirizal,-16.253333,-56.37,2001-2002,semi-open,White-tipped Dove,Leptotila verreauxi,Leptotila verreauxi,Leptotila_verreauxi,Columbidae,3464,open,18,3,0.17,NA,15,13,0.866666667,"13 predated, 2 abandoned",14,13.5,2,HBW Alive,HBW Alive,HBW Alive,NA,Pinho JB & MC Marini. 2014. Birds' nesting parameters in four forest types in the Pantanal wetland. Brazilian Journal of Biology 74: 890-898.,131.6234283,S,trop,tropical
31,Panama,"Parque Nacional Soberania, Limbo Plot",9.159722,-79.743333,1996-2004,closed,Gray-chested Dove,Leptotila cassini,Leptotila cassini,Leptotila_cassini,Columbidae,3474,open,16,NA,0.107,0.91744,NA,NA,NA,Estimated DSR from Table 1; Percentage successful from Estimated cumulative rate of nest success from Table 1,16,10,2,HBW Alive,Paper,Paper,NA,"Brawn JD, G Angehr, N Davros, WD Robinson, JN Styrsky & CE Tarwater. 2011. Sources of variation in the nesting success of understory tropical birds. Journal of Avian Biology 42: 61-68.",117.3729172,N,trop,tropical
32,Panama,"Parque Nacional Soberania, Limbo Plot",9.159722,-79.743333,1996-2004,closed,Ruddy Quail-Dove,Geotrygon montana,Geotrygon montana,Geotrygon_montana,Columbidae,3494,open,25,NA,0.212,0.93486,NA,NA,NA,Estimated DSR from Table 1; Percentage successful from Estimated cumulative rate of nest success from Table 2,15,8,2,HBW Alive,Paper,Paper,NA,"Brawn JD, G Angehr, N Davros, WD Robinson, JN Styrsky & CE Tarwater. 2011. Sources of variation in the nesting success of understory tropical birds. Journal of Avian Biology 42: 61-68.",117.3729172,N,trop,tropical
32,Costa Rica,Los Cusingos,9.333448,-83.627878,1942-1982,closed,Ruddy Quail-Dove,Geotrygon montana,Geotrygon montana,Geotrygon_montana,Columbidae,3494,open,17,5,0.294117647,NA,NA,NA,NA,NA,10.5,10,2,HBW Alive,HBW Alive,HBW Alive,NA,"Skutch AF. 1985. Clutch size, nesting success and predation on nests of Neotropical birds, reviewed. Ornithological Monographs 36: 575-594.",818.7720947,N,trop,tropical
33,Venezuela,Parque Nacional Yacambu,9.692964,-69.592088,2002-2008,closed,Olive-striped Flycatcher,Mionectes olivaceus,Mionectes olivaceus,Mionectes_olivaceus,Tyrannidae,5762,enclosed,35,NA,NA,0.964356436,NA,NA,NA,Daily predation rate is estimated for nestling stage,22.5,20.80555556,2.7,Paper,HBW Alive (midpoint of congeners),Paper,Number of nests not provided but surely >30 for all species in Martin studies,Martin TE (2015) Data from: Age-related mortality explains life history strategies of tropical and temperate songbirds._Dryad Digital Repository._https://doi.org/10.5061/dryad.2m15n. Martin TE (2015) Age-related mortality explains life history strategies of tropical and temperate songbirds. Science 349(6251): 966-970. https://doi.org/10.1126/science.aad1173,1681.384277,N,trop,tropical
34,Costa Rica,Los Cusingos,9.333448,-83.627878,1942-1982,closed,Ochre-bellied Flycatcher,Mionectes oleagineus,Mionectes oleagineus,Mionectes_oleagineus,Tyrannidae,5763,enclosed,11,4,0.363636364,NA,NA,NA,NA,NA,19.5,18,3,Paper,HBW Alive,Other papers in dataset on same species,NA,"Skutch AF. 1985. Clutch size, nesting success and predation on nests of Neotropical birds, reviewed. Ornithological Monographs 36: 575-594.",706.5334473,N,trop,tropical
34,Panama,"Parque Nacional Soberania, Limbo Plot",9.159722,-79.743333,1996-2004,closed,Ochre-bellied Flycatcher,Mionectes oleagineus,Mionectes oleagineus,Mionectes_oleagineus,Tyrannidae,5763,enclosed,76,NA,0.303,0.97131,NA,NA,NA,Estimated DSR from Table 1; Percentage successful from Estimated cumulative rate of nest success from Table 13,23,18,3,HBW Alive,Paper,Paper,NA,"Brawn JD, G Angehr, N Davros, WD Robinson, JN Styrsky & CE Tarwater. 2011. Sources of variation in the nesting success of understory tropical birds. Journal of Avian Biology 42: 61-68.",74.63521576,N,trop,tropical
34,Trinidad,"Trinidad (""Simla"", near Arima)",10.716771,-61.300368,1957-1961,closed,Ochre-bellied Flycatcher,Mionectes oleagineus,Mionectes oleagineus,Mionectes_oleagineus,Tyrannidae,5763,enclosed,33,4,0.121212121,NA,NA,NA,NA,NA,19.5,18,3,HBW Alive,HBW Alive,Other papers in dataset on same species,NA,Snow BK & DW Snow. 1979. The Ochre-bellied Flycatcher and the evolution of lek behavior. The Condor 81: 286-292.,398.3670654,N,trop,tropical
35,Brazil,"Barreiro, Belo Horizonte",-20.026948,-44.134769,1995-1999,closed,Gray-hooded Flycatcher,Mionectes rufiventris,Mionectes rufiventris,Mionectes_rufiventris,Tyrannidae,5765,enclosed,17,5,0.294117647,NA,12,8,0.666666667,8 of the unsuccessful nests were depredated,22,19,3,Paper,Paper,Paper,some of this information also presented in Marini 2017,"Aguilar TM, M Maldonado-Coelho & MA Marini. 2000. Nesting biology of the Gray-hooded Flycatcher (Mionectes rufiventris). Ornitologia Neotropical 11: 223-230.",795.5135498,S,trop,tropical
36,Brazil,"Barreiro, Belo Horizonte",-20.026948,-44.134769,1995-1999,closed,Sepia-capped Flycatcher,Leptopogon amaurocephalus,Leptopogon amaurocephalus,Leptopogon_amaurocephalus,Tyrannidae,5768,enclosed,64,30,0.46875,0.985,34,25,0.735294118,25 of the unsuccessful nests were depredated,NA,NA,2.5,HBW Alive (median),NA,NA,study designed to investigate edge/fragmentation effect on nest predation -- no effects found,"Marini, MA. 2017. Nesting success of birds from Brazilian Atlantic Forest fragments. Revista Brasileira de Ornitologia 25: 77-83.",808.3948975,S,trop,tropical
