species_id,Country,SiteName,Lat,Long,Years,Habitat,EnglishName,LatinName,JetzLatinName,JetzTipLabel,JetzFamily,JetzOrder,NestShape,SampleSize,SuccessfulNests,PercentageSuccessfulNests,DSR,FailedNests,DepredatedNests,PercentageDepredated,NestSuccessNotes,IncubationPeriod.days.,NestlingPeriod.days.,ClutchSize,ReferenceForClutchSize,ReferenceForIncubationPeriod,ReferenceForNestlingPeriod,GeneralNotes,Citation,demelevation,Hemisphere,temptrop2,temptrop
83,Bolivia,Parque Regional Lomas de Arena,-17.9405216,-63.1600785,"2011, 2012",semi-open,Fork-tailed Flycatcher,Tyrannus savana,Tyrannus savana,Tyrannus_savana,Tyrannidae,6194,open,44,23,0.52,NA,NA,NA,0.62,NA,15.5,14.5,2.9,Paper,HBW Alive,HBW Alive,NA,"Jahn AE, Tuero DT, Mamani AM, Bejarano V, Masson DA & Aguilar E. 2014. Drivers of clutch-size in Fork-tailed Flycatchers (Tyrannus savana) at temperate and tropical latitudes in South America. Emu - Austral Ornithology 114: 337-342.",423.8564758,S,trop,tropical
83,Argentina,Reserva Privada El Destino,-35.1337058,-57.3885741,"2011, 2012, 2013",semi-open,Fork-tailed Flycatcher,Tyrannus savana,Tyrannus savana,Tyrannus_savana,Tyrannidae,6194,open,79,37,0.47,NA,NA,NA,0.85,NA,15.5,14.5,3.5,Paper,HBW Alive,HBW Alive,NA,"Jahn AE, Tuero DT, Mamani AM, Bejarano V, Masson DA & Aguilar E. 2014. Drivers of clutch-size in Fork-tailed Flycatchers (Tyrannus savana) at temperate and tropical latitudes in South America. Emu - Austral Ornithology 114: 337-342.",2.070793152,S,stemp,temperate
84,United States,"Oneonta, NY",42.4563991,-75.0836195,"1994, 1995, 1996",semi-open,Eastern Kingbird,Tyrannus tyrannus,Tyrannus tyrannus,Tyrannus_tyrannus,Tyrannidae,6195,open,108,59.29,0.549,0.983,NA,NA,NA,DSR is 1-DMR,15.5,16.5,3,HBW Alive (median),HBW Alive,HBW Alive,NA,"Murphy MT, Cummings CL & Palmer MS. 1997. Comparative analysis of habitat selection, nest site and nest success by Cedar waxwings (Bombycilla cedrorum) and Eastern kingbirds (Tyrannus tyrannus). The American Midland Naturalist 138: 344-356.",341.5248108,N,ntemp,temperate
85,Argentina,Reserva de Biosfera de Nacunan,-34.0333333,-67.9867045,"1995, 1996, 1997, 1998, 1999",semi-open,Crowned Slaty Flycatcher,Griseotyrannus aurantioatrocristatus,Empidonomus aurantioatrocristatus,Empidonomus_aurantioatrocristatus,Tyrannidae,6200,open,12,4.968,0.414,0.9548,NA,NA,1,SuccNests is %SuccNests x Sample size (DSR is nestling DSR only),15.5,16,2.5,HBW Alive (median),HBW Alive,HBW Alive,NA,"Mezquida ET & Marone L. 2001. Factors affecting nesting success of a bird assembly in the central monte desert, Argentina. Journal of Avian Biology 32: 287-296.",589.6465454,S,stemp,temperate
86,Costa Rica,Los Cusingos,9.333448,-83.627878,1942-1982,semi-open,Boat-billed Flycatcher,Megarynchus pitangua,Megarynchus pitangua,Megarynchus_pitangua,Tyrannidae,6202,open,19,8,0.421052632,NA,NA,NA,NA,NA,17.5,24,2.5,Paper,HBW Alive,HBW Alive,NA,"Skutch AF. 1985. Clutch size, nesting success and predation on nests of Neotropical birds, reviewed. Ornithological Monographs 36: 575-594.",706.5334473,N,trop,tropical
87,Venezuela,Parque Nacional Yacambu,9.692964,-69.592088,2002-2008,closed,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,Myiodynastes chrysocephalus,Myiodynastes_chrysocephalus,Tyrannidae,6208,open,35,NA,NA,0.99537037,NA,NA,NA,Daily predation rate is estimated for nestling stage,16.5,20,3.2,Paper,HBW Alive (M. solitarius),Paper,Number of nests not provided but surely >30 for all species in Martin studies,Martin TE (2015) Data from: Age-related mortality explains life history strategies of tropical and temperate songbirds._Dryad Digital Repository._https://doi.org/10.5061/dryad.2m15n. Martin TE (2015) Age-related mortality explains life history strategies of tropical and temperate songbirds. Science 349(6251): 966-970. https://doi.org/10.1126/science.aad1173,1656.773926,N,trop,tropical
88,Brazil,Belem,-1.21324,-48.234302,1972-1973,semi-open,Rusty-margined Flycatcher,Myiozetetes cayanensis,Myiozetetes cayanensis,Myiozetetes_cayanensis,Tyrannidae,6213,enclosed,11,3,0.272727273,0.938931298,8,8,1,Study provides raw data that can be used both to calculate percentage of successful  nests (nearly all unsuccessful nests = depredated) and also to calculate daily survival probability. 8 of failed nests thought to be due to predation.,NA,NA,2.5,HBW Alive (median),NA,NA,NA,Oniki Y. 1979. Is nesting success of birds low in the tropics? Biotropica 11: 60-69,23.54823303,S,trop,tropical
89,Costa Rica,Los Cusingos,9.333448,-83.627878,1942-1982,semi-open,Gray-capped Flycatcher,Myiozetetes granadensis,Myiozetetes granadensis,Myiozetetes_granadensis,Tyrannidae,6215,enclosed,40,18,0.45,NA,NA,NA,NA,NA,15.5,19,3,Paper,HBW Alive (M. similis),HBW Alive (M. similis),NA,"Skutch AF. 1985. Clutch size, nesting success and predation on nests of Neotropical birds, reviewed. Ornithological Monographs 36: 575-594.",706.5334473,N,trop,tropical
90,Brazil,Pirizal,-16.253333,-56.37,2001-2002,semi-open,Great Kiskadee,Pitangus sulphuratus,Pitangus sulphuratus,Pitangus_sulphuratus,Tyrannidae,6219,enclosed,10,1,0.1,NA,9,7,0.777777778,"7 predated, 2 abandoned",16.5,17.5,3.5,HBW Alive (median),HBW Alive,HBW Alive,NA,Pinho JB & MC Marini. 2014. Birds' nesting parameters in four forest types in the Pantanal wetland. Brazilian Journal of Biology 74: 890-898.,129.5869751,S,trop,tropical
91,Bolivia,Aten,-14.91667,-68.31667,2005,closed,Swallow-tailed Cotinga,Phibalura flavirostris,Phibalura flavirostris,Phibalura_flavirostris,Cotingidae,6257,open,48,10,0.2083,0.9614,NA,NA,NA,"The probability of daily survival during incubation was 0.9455 (n = 44, total egg exposure days = 444, SD = 0.0045). The probability of daily survival during the nestling 0.9773 ± 0.0065 (n = 20, total nestling exposure days = 3)",18,27,2,Paper,Paper,Paper,NA,Avalos V. 2011. Biparental care and nesting success of the swallow-tailed cotinga in northwestern Bolivia. Wilson Journal of Ornithology 123: 251-258.,1416.033447,S,trop,tropical
92,Ecuador,"Tiputini Biodiverity Station, Yasuni",-0.637999,-76.150113,2004-2005,closed,Wire-tailed Manakin,Pipra filicauda,Pipra filicauda,Pipra_filicauda,Pipridae,6338,open,61,NA,NA,0.853,NA,NA,NA,NA,16,15,2,HBW Alive,Paper,Paper,NA,"Ryder TB, R Duraes, WP Tori, JR Hidalgo, BA Loiselle & JG Blake. 2008. Nest survival for two species of manakins (Pipridae) in lowland Ecuador. Journal of Avian Biology 39: 355-358.",242.901825,S,trop,tropical
93,Panama,"Parque Nacional Soberania, Limbo Plot",9.159722,-79.743333,1996-2004,closed,Red-capped Manakin,Pipra mentalis,Pipra mentalis,Pipra_mentalis,Pipridae,6339,open,60,NA,0.129,0.93975,NA,NA,NA,Estimated DSR from Table 1; Percentage successful from Estimated cumulative rate of nest success from Table 18,20.5,12.5,2,HBW Alive,Paper,Paper,NA,"Brawn JD, G Angehr, N Davros, WD Robinson, JN Styrsky & CE Tarwater. 2011. Sources of variation in the nesting success of understory tropical birds. Journal of Avian Biology 42: 61-68.",117.3729172,N,trop,tropical
94,Costa Rica,Los Cusingos,9.333448,-83.627878,1942-1982,closed,Blue-crowned Manakin,Lepidothrix coronata,Lepidothrix coronata,Lepidothrix_coronata,Pipridae,6346,open,10,1,0.1,NA,NA,NA,NA,NA,17.5,14,2,Paper,HBW Alive,HBW Alive,NA,Skutch AF. 1966. A breeding bird census and nesting success in Central America. Ibis 108: 1-16.,706.5334473,N,trop,tropical
94,Ecuador,"Tiputini Biodiverity Station, Yasuni",-0.637999,-76.150113,2004-2005,closed,Blue-crowned Manakin,Lepidothrix coronata,Lepidothrix coronata,Lepidothrix_coronata,Pipridae,6346,open,45,NA,NA,0.891,NA,NA,NA,NA,17.5,14,2,HBW Alive,HBW Alive,HBW Alive,NA,"Ryder TB, R Duraes, WP Tori, JR Hidalgo, BA Loiselle & JG Blake. 2008. Nest survival for two species of manakins (Pipridae) in lowland Ecuador. Journal of Avian Biology 39: 355-358.",242.901825,S,trop,tropical
95,Brazil,Carlos Botelho State Park,-24.062611,-47.992812,2013-2015,closed,Blue Manakin,Chrioxiphia caudata,Chiroxiphia pareola,Chiroxiphia_pareola,Pipridae,6358,open,36,NA,0.34,NA,NA,NA,NA,NA,18,16,2,Paper,Paper,Paper,NA,"Zima PV, DF Perrella, CH Biagolini, L Ribeiro-Silva & MR Francisco. 2017. Breeding behavior of the Atlantic forest endemic Blue Manakin (Chiroxiphia caudata). The Wilson Journal of Ornithology 129: 53-61.",769.2957153,S,stemp,temperate
96,Venezuela,Parque Nacional Yacambu,9.692964,-69.592088,2002-2008,closed,Golden-winged Manakin,Masius chrysopterus,Masius chrysopterus,Masius_chrysopterus,Pipridae,6361,open,35,NA,NA,0.971830986,NA,NA,NA,Daily predation rate is estimated for nestling stage,17,19.5,2,Paper,HBW Alive (midpoint of congeners),Paper,Number of nests not provided but surely >30 for all species in Martin studies,Martin TE (2015) Data from: Age-related mortality explains life history strategies of tropical and temperate songbirds._Dryad Digital Repository._https://doi.org/10.5061/dryad.2m15n. Martin TE (2015) Age-related mortality explains life history strategies of tropical and temperate songbirds. Science 349(6251): 966-970. https://doi.org/10.1126/science.aad1173,1681.384277,N,trop,tropical
97,Costa Rica,Los Cusingos,9.333448,-83.627878,1942-1982,closed,Orange-collared Manakin,Manacus aurantiacus,Manacus aurantiacus,Manacus_aurantiacus,Pipridae,6367,open,78,20,0.256410256,NA,NA,NA,NA,NA,19,14,2,Paper,HBW Alive,HBW Alive,NA,"Skutch AF. 1985. Clutch size, nesting success and predation on nests of Neotropical birds, reviewed. Ornithological Monographs 36: 575-594.",706.5334473,N,trop,tropical
98,Panama,"Parque Nacional Soberania, Limbo Plot",9.159722,-79.743333,1996-2004,closed,Golden-collared Manakin,Manacus vitellinus,Manacus vitellinus,Manacus_vitellinus,Pipridae,6368,open,19,NA,0.138,0.9361,NA,NA,NA,Estimated DSR from Table 1; Percentage successful from Estimated cumulative rate of nest success from Table 17,18,12,2,HBW Alive,Paper,Paper,NA,"Brawn JD, G Angehr, N Davros, WD Robinson, JN Styrsky & CE Tarwater. 2011. Sources of variation in the nesting success of understory tropical birds. Journal of Avian Biology 42: 61-68.",117.3729172,N,trop,tropical
99,Trinidad,"Trinidad (""Simla"", near Arima)",10.716771,-61.300368,1957-1961,closed,White-bearded Manakin,Manacus manacus,Manacus manacus,Manacus_manacus,Pipridae,6369,open,227,44,0.193832599,NA,NA,NA,NA,NA,18.5,14,2,HBW Alive,HBW Alive,HBW Alive,NA,"Snow DW. 1962. A field study of the black and white manakin, Manacus manacus, in Trinidad. Zoologica 47: 65-104.",541.6542358,N,trop,tropical
100,Brazil,Pirizal,-16.253333,-56.37,2001-2002,semi-open,Great Antshrike,Taraba major,Taraba major,Taraba_major,Thamnophilidae,6403,open,19,4,0.21,NA,15,11,0.733333333,"11 predated, 4 abandoned",17.5,12.5,2.5,HBW Alive (median),HBW Alive,HBW Alive,NA,Pinho JB & MC Marini. 2014. Birds' nesting parameters in four forest types in the Pantanal wetland. Brazilian Journal of Biology 74: 890-898.,129.5869751,S,trop,tropical
101,Ecuador,Ancon (Guayas Province),-2.310831,-80.838557,1955-1958,semi-open,Collared Antshrike,Thamnophilus bernardi,Sakesphorus bernardi,Sakesphorus_bernardi,Thamnophilidae,6406,open,11,3,0.272727273,NA,NA,NA,NA,"Marchant writes that of 28 eggs, 8 nestlings fledged (vs. 3 successful nests out of 11). All failures due to predation?",15,11,2.6,Paper,Paper,Paper,NA,Marchant S. 1960. The breeding of some SW Ecuadorian birds. Ibis 102: 349-382,36.67686844,S,trop,tropical
102,Brazil,Pirizal,-16.253333,-56.37,2001-2002,semi-open,Barred Antshrike,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilus_doliatus,Thamnophilidae,6411,open,14,6,0.43,NA,8,2,0.25,"2 predated, 6 abandoned",14,12,2,HBW Alive,HBW Alive,HBW Alive,NA,Pinho JB & MC Marini. 2014. Birds' nesting parameters in four forest types in the Pantanal wetland. Brazilian Journal of Biology 74: 890-898.,129.5869751,S,trop,tropical
103,Panama,"Parque Nacional Soberania, Limbo Plot",9.159722,-79.743333,1996-2004,closed,Black-crowned Antshrike,Thamnophilus atrinucha,Thamnophilus atrinucha,Thamnophilus_atrinucha,Thamnophilidae,6428,open,405,NA,0.15,0.92973,NA,NA,NA,Estimated DSR from Table 1; Percentage successful from Estimated cumulative rate of nest success from Table 4,16,10,2,HBW Alive,Paper,Paper,NA,"Brawn JD, G Angehr, N Davros, WD Robinson, JN Styrsky & CE Tarwater. 2011. Sources of variation in the nesting success of understory tropical birds. Journal of Avian Biology 42: 61-68.",117.3729172,N,trop,tropical
103,Panama,"Soberan‰êa National Park, Panam‰_",9.087845,-79.648508,1990-1993,closed,Black-crowned Antshrike,Thamnophilus atrinucha,Thamnophilus atrinucha,Thamnophilus_atrinucha,Thamnophilidae,6428,open,183,30,0.16,0.91,NA,NA,NA,NA,15.5,9.5,2,HBW Alive,HBW Alive,HBW Alive,NA,Roper JJ. 2005. Try and try again: nest predation favors persistence in a neotropical bird. Ornitologia Neotropical 16: 253-262.,140.3943481,N,trop,tropical
103,Costa Rica,La Selva biological station,10.428667,-84.013466,1997-1998,closed,Black-crowned Antshrike,Thamnophilus atrinucha,Thamnophilus atrinucha,Thamnophilus_atrinucha,Thamnophilidae,6428,open,14,NA,NA,0.89,NA,NA,NA,NA,15.5,9.5,2,HBW Alive,HBW Alive,HBW Alive,NA,"Young BE, TW Sherry, BJ Sigel & S & Woltmann. 2008. Nesting success of Costa Rican lowland rain forest birds in response to edge and isolation effects. Biotropica 40: 615-622.",106.3399048,N,trop,tropical
104,Venezuela,Parque Nacional Yacambu,9.692964,-69.592088,2002-2008,closed,Plain Antvireo,Dysithamnus mentalis,Dysithamnus mentalis,Dysithamnus_mentalis,Thamnophilidae,6451,open,35,NA,NA,0.963741935,NA,NA,NA,Daily predation rate is estimated for nestling stage,15,11,2,Paper,HBW Alive,Paper,Number of nests not provided but surely >30 for all species in Martin studies,Martin TE (2015) Data from: Age-related mortality explains life history strategies of tropical and temperate songbirds._Dryad Digital Repository._https://doi.org/10.5061/dryad.2m15n. Martin TE (2015) Age-related mortality explains life history strategies of tropical and temperate songbirds. Science 349(6251): 966-970. https://doi.org/10.1126/science.aad1173,1681.384277,N,trop,tropical
105,Brazil,Carlos Botelho State Park,-24.138545,-47.954601,2013-2014,closed,Star-throated Antwren,Rhopias gularis,Myrmotherula gularis,Myrmotherula_gularis,Thamnophilidae,6477,open,27,17,0.57,NA,NA,NA,NA,percent reported as Mayfield survival probability. Apparent success = 17/27 = 0.6296,16.8,12,2,Paper,Paper,Paper,NA,"Perrella DF, CH Biagolini Jr, L Ribeiro-Silva, PVQ Zima & MR Francisco. 2017. Reproduction of the Atlantic Forest endemic star-throated antwren, Rhopias gularis (Aves: Thamnophilidae). Brazilian Journal of Biology, 77: 356-360.",692.5614624,S,stemp,temperate
105,Brazil,Morretes,-26,-48.8,2011-2014,closed,Star-throated Antwren,Rhopias gularis,Myrmotherula gularis,Myrmotherula_gularis,Thamnophilidae,6477,open,78,NA,NA,0.9436,NA,NA,NA,"They report DSR of early vs. late season incubation and early, mid, late season for nestling. I averaged all of these and used the sample size reported for total nest of known outcome.",18,13,2,Paper,Paper,Paper,NA,de Lima AMX & JJ Roper. 2016. A tropical bird with a short breeding season and high rates of nesting success: The breeding ecology of the Star-throated Antwren (Rhopias gularis: Thamnophilidae) in subtropical Brazil. Emu 116: 411-422.,86.59999847,S,stemp,temperate
106,Panama,"Parque Nacional Soberania, Limbo Plot",9.159722,-79.743333,1996-2004,closed,Checker-throated Antwren,Epinecrophylla fulviventris,Epinecrophylla fulviventris,Epinecrophylla_fulviventris,Thamnophilidae,6479,enclosed,175,NA,0.273,0.9474,NA,NA,NA,Estimated DSR from Table 1; Percentage successful from Estimated cumulative rate of nest success from Table 6,20,14,2,HBW Alive,Paper,Paper,NA,"Brawn JD, G Angehr, N Davros, WD Robinson, JN Styrsky & CE Tarwater. 2011. Sources of variation in the nesting success of understory tropical birds. Journal of Avian Biology 42: 61-68.",117.3729172,N,trop,tropical
107,Panama,"Parque Nacional Soberania, Limbo Plot",9.159722,-79.743333,1996-2004,closed,White-flanked Antwren,Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,6486,open,43,NA,0.179,0.94138,NA,NA,NA,Estimated DSR from Table 1; Percentage successful from Estimated cumulative rate of nest success from Table 7,17.5,11,2,HBW Alive,Paper,Paper,NA,"Brawn JD, G Angehr, N Davros, WD Robinson, JN Styrsky & CE Tarwater. 2011. Sources of variation in the nesting success of understory tropical birds. Journal of Avian Biology 42: 61-68.",117.3729172,N,trop,tropical
108,Venezuela,Parque Nacional Yacambu,9.692964,-69.592088,2002-2008,closed,Slaty Antwren,Myrmotherula schisticolor,Myrmotherula schisticolor,Myrmotherula_schisticolor,Thamnophilidae,6489,open,35,NA,NA,0.953596288,NA,NA,NA,Daily predation rate is estimated for nestling stage,15,10.333333,1.9,Paper,HBW Alive,Paper,Number of nests not provided but surely >30 for all species in Martin studies,Martin TE (2015) Data from: Age-related mortality explains life history strategies of tropical and temperate songbirds._Dryad Digital Repository._https://doi.org/10.5061/dryad.2m15n. Martin TE (2015) Age-related mortality explains life history strategies of tropical and temperate songbirds. Science 349(6251): 966-970. https://doi.org/10.1126/science.aad1173,1681.384277,N,trop,tropical
109,Panama,"Parque Nacional Soberania, Limbo Plot",9.159722,-79.743333,1996-2004,closed,Dot-winged Antwren,Microrhopias quixensis,Microrhopias quixensis,Microrhopias_quixensis,Thamnophilidae,6516,open,21,NA,0.132,0.93029,NA,NA,NA,Estimated DSR from Table 1; Percentage successful from Estimated cumulative rate of nest success from Table 5,17,11,2,HBW Alive,Paper,Paper,NA,"Brawn JD, G Angehr, N Davros, WD Robinson, JN Styrsky & CE Tarwater. 2011. Sources of variation in the nesting success of understory tropical birds. Journal of Avian Biology 42: 61-68.",117.3729172,N,trop,tropical
110,Panama,"Parque Nacional Soberania, Limbo Plot",9.159722,-79.743333,1996-2004,closed,Dusky Antbird,Cercomacroides tyrannina,Cercomacra tyrannina,Cercomacra_tyrannina,Thamnophilidae,6546,open,43,NA,0.116,0.92847,NA,NA,NA,Estimated DSR from Table 1; Percentage successful from Estimated cumulative rate of nest success from Table 8,19,10,2,HBW Alive,Paper,Paper,NA,"Brawn JD, G Angehr, N Davros, WD Robinson, JN Styrsky & CE Tarwater. 2011. Sources of variation in the nesting success of understory tropical birds. Journal of Avian Biology 42: 61-68.",117.3729172,N,trop,tropical
111,Brazil,"Pirizal, Pocone, Mato Grosso",-16.240614,-56.375561,2005-2006,closed,Mato Grosso Antbird,Cercomacra melanaria,Cercomacra melanaria,Cercomacra_melanaria,Thamnophilidae,6554,open,69,19,0.275362319,0.95,NA,NA,NA,Data from Bernardon et al. 2014 and from de Pinho et al. 2006 combined -- two studies of same population that were conducted in different years,14,9.4,1.9,Paper,Paper,Paper,NA,"Bernardon B, PFA de Nobrega & JB de Pinho. 2014. Reproductive biology and nest-site selection of the Mato Grosso Antbird Cercomacra melanaria in the Brazilian Pantanal. Revista Brasileira de Ornitologia 22: 270-277. de Pinho JB, LE Lopes, DH de Morais & AM Fernandes. 2006. Life history of the Mato Grosso Antbird Cercomacra melanaria in the Brazilian Pantanal. Ibis 148: 321-329.",130.7687988,S,trop,tropical
112,Costa Rica,La Selva biological station,10.428667,-84.013466,2010-2013,closed,Chestnut-backed Antbird,Poliocrania exsul,Myrmeciza exsul,Myrmeciza_exsul,Thamnophilidae,6577,open,99,NA,NA,0.957,NA,NA,NA,NA,16,9,2,HBW Alive,Paper,Paper,NA,"Visco DM & TW Sherry. 2015. Increased abundance, but reduced nest predation in the chestnut-backed antbird in costa rican rainforest fragments: surprising impacts of a pervasive snake species. Biological Conservation 188: 22-31.",106.3399048,N,trop,tropical
113,Panama,"Parque Nacional Soberania, Limbo Plot",9.159722,-79.743333,1996-2004,closed,Spotted Antbird,Hylophylax naevioides,Hylophylax naevioides,Hylophylax_naevioides,Thamnophilidae,6609,open,302,NA,0.202,0.9463,NA,NA,NA,Estimated DSR from Table 1; Percentage successful from Estimated cumulative rate of nest success from Table 10,18,11,2,HBW Alive,Paper,Paper,NA,"Brawn JD, G Angehr, N Davros, WD Robinson, JN Styrsky & CE Tarwater. 2011. Sources of variation in the nesting success of understory tropical birds. Journal of Avian Biology 42: 61-68.",117.3729172,N,trop,tropical
113,Panama,Barro Colorado Island,9.157423,-79.848287,1960-1971,closed,Spotted Antbird,Hylophylax naevioides,Hylophylax naevioides,Hylophylax_naevioides,Thamnophilidae,6609,open,84,16,0.19047619,NA,NA,NA,NA,NA,15.5,11.5,2,HBW Alive,HBW Alive,HBW Alive,NA,"Willis, EO. 1972. The behavior of Spotted Antbirds. Ornithol. Monogr. No. 10.",46.05140305,N,trop,tropical
114,Brazil,Pirizal,-16.253333,-56.37,2001-2002,semi-open,Pale-legged Hornero,Furnarius leucopus,Furnarius leucopus,Furnarius_leucopus,Furnariidae,6662,enclosed,12,0,0,NA,12,4,0.333333333,"4 predated, 8 abandoned",16.5,33,2,HBW Alive,HBW Alive,HBW Alive,NA,Pinho JB & MC Marini. 2014. Birds' nesting parameters in four forest types in the Pantanal wetland. Brazilian Journal of Biology 74: 890-898.,129.5869751,S,trop,tropical
115,Argentina,Magdelena,-35.0806673,-57.5177615,"1977, 1978, 1979",semi-open,Rufous Hornero,Furnarius rufus,Furnarius rufus,Furnarius_rufus,Furnariidae,6664,enclosed,13,NA,NA,0.996,NA,NA,NA,only nestlingDSR used,17,24.4,3.4,Paper,Paper,Paper,NA,"Mason P. 1985. The nestling biology of some passerines of Beunos Aires, Argentina. Ornithological Monographs 36: 954-972.",8.386920929,S,stemp,temperate
115,Argentina,Instituto Tecnologico de Chascomus,-35.6224775,-57.9945406,"2002, 2003, 2004",semi-open,Rufous Hornero,Furnarius rufus,Furnarius rufus,Furnarius_rufus,Furnariidae,6664,enclosed,59,37,0.62,NA,NA,NA,0.66,NA,16,24.5,3,HBW Alive (median),HBW Alive,HBW Alive,NA,"Massoni V, Reboreda JC, Lopez GC & Aldatz MF. 2012. High coordination and equitable parental effort in the Rufous Hornero. The Condor 114: 564-570.",5.947686195,S,stemp,temperate
116,Argentina,Reserva de Biosfera de Nacunan,-34.0333333,-67.9867045,"1995, 1996, 1997, 1998, 1999",semi-open,Tufted Tit-Spinetail,Leptasthenura platensis,Leptasthenura platensis,Leptasthenura_platensis,Furnariidae,6671,enclosed,15,0.405,0.027,0.9111,NA,NA,1,SuccNests is %SuccNests x Sample size (DSR is nestling DSR only),14.5,15.5,3,HBW Alive (median),HBW Alive,HBW Alive,NA,"Mezquida ET & Marone L. 2001. Factors affecting nesting success of a bird assembly in the central monte desert, Argentina. Journal of Avian Biology 32: 287-296.",589.6465454,S,stemp,temperate
117,Brazil,Estacao Ecologica de Aguas Emendadas,-15.5532427,-47.5963285,2003-2011 (inclusive),semi-open,Pale-breasted Spinetail,Synallaxis albescens,Synallaxis albescens,Synallaxis_albescens,Furnariidae,6703,enclosed,16,4,0.25,NA,NA,NA,0.69,NA,18.1,13.6,2.6,Paper,Paper,Paper,NA,"Marini MA, Rodrigues SS, Silveira MB & Greeney HF. 2012. Reproductive biology of Synallaxis albescens (Aves: Furnariidae) in the cerrado of central Brazil. Biota Neotropical 12: 266-269.",1094.124878,S,trop,tropical
118,Brazil,Pirizal,-16.253333,-56.37,2001-2002,semi-open,White-lored Spinetail,Synallaxis albilora,Synallaxis albilora,Synallaxis_albilora,Furnariidae,6718,enclosed,27,2,0.07,NA,25,11,0.44,"11 predated, 14 abandoned",15,13.5,3,HBW Alive,HBW Alive,HBW Alive,NA,Pinho JB & MC Marini. 2014. Birds' nesting parameters in four forest types in the Pantanal wetland. Brazilian Journal of Biology 74: 890-898.,131.6234283,S,trop,tropical
119,Argentina,Reserva de Biosfera de Nacunan,-34.0333333,-67.9867045,"1995, 1996, 1997, 1998, 1999",semi-open,Stripe-crowned Spinetail,Cranioleuca pyrrhophia,Cranioleuca pyrrhophia,Cranioleuca_pyrrhophia,Furnariidae,6741,enclosed,19,1.216,0.064,0.9535,NA,NA,1,SuccNests is %SuccNests x Sample size (DSR is nestling DSR only),NA,14,2.5,HBW Alive (median),NA,HBW Alive,NA,"Mezquida ET & Marone L. 2001. Factors affecting nesting success of a bird assembly in the central monte desert, Argentina. Journal of Avian Biology 32: 287-296.",589.6465454,S,stemp,temperate
120,Brazil,Pirizal,-16.253333,-56.37,2001-2002,semi-open,Rusty-backed Spinetail,Cranioleuca vulpina,Cranioleuca vulpina,Cranioleuca_vulpina,Furnariidae,6749,enclosed,21,3,0.14,NA,18,7,0.388888889,"7 predated, 11 abandoned",NA,NA,2.5,HBW Alive (median),NA,NA,NA,Pinho JB & MC Marini. 2014. Birds' nesting parameters in four forest types in the Pantanal wetland. Brazilian Journal of Biology 74: 890-898.,131.6234283,S,trop,tropical
121,Venezuela,Hato Masaguaral,8.5657125,-67.5732565,"1990, 1991, 1992, 1993",semi-open,Rufous-fronted Thornbird,Phacellodomus rufifrons,Phacellodomus rufifrons,Phacellodomus_rufifrons,Furnariidae,6789,enclosed,24,14.64,0.61,0.98075,NA,NA,0.27,DSR is 1-DMR and DMR is a mean of 2 treatments over 4 time periods (n=8),NA,NA,3,HBW Alive (median),NA,NA,NA,Lindell CA. 1996. Benefits and costs to Plain-fronted thornbirds (Phacellodomus rufifrons) of interactionswith avian nest associates. The Auk 113: 565-577.,71.44391632,N,trop,tropical
122,Argentina,Mar Chiquita coastal lagoon,-37.66667,-57.38333,2006-2008,open,Bay-capped Wren-Spinetail,Spartonoica maluroides,Spartonoica maluroides,Spartonoica_maluroides,Furnariidae,6798,open,52,NA,NA,0.974,NA,NA,NA,NA,13,12.5,3.5,HBW Alive (median),HBW Alive,HBW Alive,NA,"Cardoni DA, JP Isacch & O Iribarne. 2012. Effects of cattle grazing and fire on the abundance, habitat selection, and nesting success of the Bay-capped Wren-spinetail (Spartonoica maluroides) in coastal saltmarshes of the pampas region. The Condor 114: 803-811.",-0.76114285,S,stemp,temperate
123,Chile,"Laguna Santa Elena, Nuble province",-36.804129,-72.382939,2005-2008,open,Wren-like Rushbird,Phleocryptes melanops,Phleocryptes melanops,Phleocryptes_melanops,Furnariidae,6799,enclosed,42,NA,0.461,NA,NA,NA,NA,Nest success calculated based on number of fleglings from 104 eggs laid. Most failure thought to be due to rodent predators.,16,16,2.5,Paper,HBW Alive,HBW Alive,NA,"Lara J, C Barrientos, K Ardiles, L Moreno, RA Figureoa & D Gonzalez-Acuna. 2011. Biologia reproductiva del trabajador (Phleocryptes melanops) en el centro-sur de Chile. Ornitologia Neotropical 22: 121-130.",82.38082886,S,stemp,temperate
123,Argentina,Magdelena,-35.0806673,-57.5177615,"1977, 1978, 1979",open,Wren-like Rushbird,Phleocryptes melanops,Phleocryptes melanops,Phleocryptes_melanops,Furnariidae,6799,enclosed,11,NA,NA,0.976,NA,NA,NA,only nestlingDSR used,16.1,15,2.7,Paper,Paper,Paper,NA,"Mason P. 1985. The nestling biology of some passerines of Beunos Aires, Argentina. Ornithological Monographs 36: 954-972.",8.386920929,S,stemp,temperate
